key,value,date
MILÁN,474,2001
NÁNDOR,118,2001
NIKOLASZ,,2001
NIMRÓD,,2001
NOEL,54,2001
NOLEN,,2001
NORBERT,750,2001
OLIVÉR,254,2001
PÁL,102,2001
PATRIK,968,2001
PÉTER,1282,2001
RAJMUND,,2001
RENÁTÓ,100,2001
RICHÁRD,831,2001
RIKÁRDÓ,,2001
RÓBERT,499,2001
ROLAND,704,2001
RÓMEÓ,,2001
RUDOLF,,2001
SÁMUEL,,2001
SÁNDOR,611,2001
SEBESTYÉN,,2001
SIMON,56,2001
SOMA,117,2001
SZABOLCS,511,2001
SZEBASZTIÁN,201,2001
SZILÁRD,145,2001
SZILVESZTER,84,2001
TAMÁS,1409,2001
TIBOR,355,2001
VALENTIN,56,2001
VENCEL,,2001
VIKTOR,381,2001
VILMOS,81,2001
VINCE,62,2001
ZALÁN,140,2001
ZÉNÓ,,2001
ZENTE,,2001
ZÉTÉNY,,2001
ZOLTÁN,1075,2001
ZSIGMOND,,2001
ZSOLT,794,2001
ZSOMBOR,322,2001
ÁBEL,137,2002
ÁDÁM,1237,2002
ADRIÁN,403,2002
ÁGOSTON,,2002
ÁKOS,635,2002
ALBERT,,2002
ALEX,384,2002
ALEXANDER,75,2002
ÁLMOS,,2002
ANDOR,55,2002
ANDRÁS,668,2002
ANTAL,68,2002
ARMAND,62,2002
ÁRMIN,79,2002
ARNOLD,74,2002
ÁRON,376,2002
ÁRPÁD,97,2002
ATTILA,880,2002
BALÁZS,1272,2002
BÁLINT,1047,2002
BARNA,80,2002
BARNABÁS,425,2002
BÉLA,135,2002
BENCE,1869,2002
BENDE,,2002
BENDEGÚZ,142,2002
BENEDEK,353,2002
BENETT,,2002
BENJAMIN,,2002
BENJÁMIN,229,2002
BERTALAN,71,2002
BOLDIZSÁR,104,2002
BOTOND,419,2002
BRÁJEN,,2002
BRENDON,,2002
BULCSÚ,,2002
CSABA,579,2002
CSANÁD,77,2002
CSONGOR,114,2002
DÁNIEL,1678,2002
DÁVID,1513,2002
DÉNES,98,2002
DENISZ,,2002
DEZSŐ,,2002
DOMINIK,876,2002
DOMONKOS,109,2002
DONÁT,93,2002
DORIÁN,,2002
ENDRE,,2002
ERIK,424,2002
ERNŐ,,2002
FÉLIX,,2002
FERENC,432,2002
FLÓRIÁN,,2002
GÁBOR,827,2002
GELLÉRT,54,2002
GERGELY,444,2002
GERGŐ,1100,2002
GÉZA,,2002
GYÖRGY,201,2002
GYULA,155,2002
HENRIK,68,2002
HUBA,,2002
HUNOR,89,2002
IMRE,272,2002
ISTVÁN,805,2002
IVÁN,,2002
JÁNOS,578,2002
JENŐ,,2002
JÓZSEF,622,2002
KÁLMÁN,,2002
