key,value,date
VIRÁG,552,2004
VIVIEN,1007,2004
ZSANETT,233,2004
ZSÓFIA,978,2004
ZSUZSANNA,175,2004
ABIGÉL,,2005
ADÉL,151,2005
ADRIENN,259,2005
ÁGNES,153,2005
ALEXA,172,2005
ALEXANDRA,625,2005
ALÍZ,,2005
AMANDA,301,2005
AMIRA,,2005
ANDREA,172,2005
ANETT,,2005
ANITA,178,2005
ANNA,1511,2005
ANNABELLA,,2005
ANNAMÁRIA,,2005
BARBARA,483,2005
BEATRIX,,2005
BELLA,,2005
BERNADETT,200,2005
BETTINA,189,2005
BIANKA,495,2005
BÍBORKA,,2005
BLANKA,254,2005
BOGLÁRKA,968,2005
BORBÁLA,151,2005
BORÓKA,,2005
BRIGITTA,223,2005
CINTIA,253,2005
CSENGE,606,2005
CSILLA,124,2005
DALMA,138,2005
DIÁNA,162,2005
DOMINIKA,241,2005
DÓRA,724,2005
DORINA,979,2005
DORKA,323,2005
DOROTTYA,273,2005
DZSENIFER,305,2005
DZSESSZIKA,,2005
EDINA,,2005
ELIZA,,2005
ELIZABET,,2005
EMESE,309,2005
EMILI,,2005
EMÍLIA,,2005
EMMA,330,2005
ENIKŐ,333,2005
ERIKA,,2005
ESZTER,894,2005
ÉVA,149,2005
EVELIN,449,2005
FANNI,846,2005
FLÓRA,282,2005
FRUZSINA,281,2005
GABRIELLA,163,2005
GEORGINA,127,2005
GRÉTA,544,2005
HAJNALKA,,2005
HANGA,,2005
HANNA,691,2005
HÉDI,,2005
HENRIETTA,146,2005
IVETT,117,2005
IZABELLA,129,2005
JANKA,223,2005
JÁZMIN,600,2005
JOHANNA,,2005
JUDIT,,2005
JÚLIA,215,2005
JULIANNA,,2005
KAMILLA,208,2005
KATA,351,2005
KATALIN,224,2005
KIARA,,2005
KINCSŐ,,2005
KINGA,308,2005
KIRA,,2005
KÍRA,242,2005
KITTI,425,2005
KLAUDIA,230,2005
KRISZTINA,318,2005
LARA,147,2005
LAURA,876,2005
LEILA,,2005
LÉNA,,2005
LETÍCIA,,2005
LIA,,2005
LILI,872,2005
LILIÁNA,255,2005
LILIEN,,2005
LILLA,525,2005
LINETT,,2005
LÍVIA,,2005
LIZA,126,2005
LOTTI,,2005
LUCA,608,2005
MAJA,166,2005
MÁRIA,183,2005
MELINDA,194,2005
MELISSZA,,2005
MERCÉDESZ,191,2005
MIA,,2005
MIRA,,2005
MÍRA,141,2005
MIRELLA,,2005
MÓNIKA,144,2005
NATÁLIA,157,2005
NATASA,,2005
NIKOLETT,500,2005
NIKOLETTA,208,2005
NOÉMI,578,2005
NÓRA,571,2005
NORINA,,2005
OLÍVIA,,2005
ORSOLYA,186,2005
PANKA,,2005
PANNA,378,2005
PATRÍCIA,183,2005
PETRA,951,2005
RAMÓNA,293,2005
REBEKA,452,2005
REGINA,246,2005
RÉKA,1062,2005
RENÁTA,175,2005
RÓZA,,2005
SÁRA,402,2005
SZABINA,136,2005
SZILVIA,117,2005
SZOFI,,2005
SZOFIA,,2005
SZÓFIA,,2005
SZONJA,227,2005
TAMARA,227,2005
TÍMEA,277,2005
TÜNDE,136,2005
VANDA,222,2005
VANESSZA,375,2005
VERONIKA,289,2005
VIKTÓRIA,1023,2005
VIRÁG,761,2005
VIVIEN,888,2005
ZITA,174,2005
ZOÉ,148,2005
ZSANETT,224,2005
ZSÓFIA,988,2005
ZSUZSANNA,149,2005
ABIGÉL,,2006
ADÉL,157,2006
ADRIENN,276,2006
ÁGNES,138,2006
ALEXA,177,2006
ALEXANDRA,576,2006
ALÍZ,,2006
AMANDA,251,2006
AMIRA,,2006
ANDREA,164,2006
ANETT,,2006
ANITA,153,2006
ANNA,1528,2006
ANNABELLA,,2006
ANNAMÁRIA,,2006
BARBARA,451,2006
BEATRIX,,2006
BELLA,,2006
BERNADETT,190,2006
BETTINA,192,2006
BIANKA,462,2006
BÍBORKA,,2006
BLANKA,250,2006
BOGLÁRKA,1195,2006
BORBÁLA,167,2006
BORÓKA,,2006
BRIGITTA,203,2006
CINTIA,235,2006
CSENGE,579,2006
CSILLA,127,2006
DALMA,133,2006
DIÁNA,162,2006
DOMINIKA,215,2006
DÓRA,745,2006
DORINA,791,2006
DORKA,374,2006
DOROTTYA,227,2006
DZSENIFER,255,2006
DZSESSZIKA,,2006
EDINA,,2006
ELIZA,,2006
ELIZABET,,2006
EMESE,366,2006
EMILI,,2006
EMÍLIA,,2006
EMMA,415,2006
ENIKŐ,381,2006
ERIKA,,2006
ESZTER,886,2006
ÉVA,158,2006
EVELIN,331,2006
FANNI,753,2006
FLÓRA,360,2006
FRUZSINA,292,2006
GABRIELLA,174,2006
GEORGINA,,2006
GRÉTA,518,2006
HAJNALKA,,2006
HANGA,,2006
HANNA,957,2006
HÉDI,,2006
HENRIETTA,132,2006
IVETT,134,2006
IZABELLA,145,2006
JANKA,232,2006
JÁZMIN,688,2006
JOHANNA,,2006
JUDIT,,2006
JÚLIA,249,2006
JULIANNA,,2006
KAMILLA,255,2006
KATA,375,2006
KATALIN,192,2006
KIARA,,2006
KINCSŐ,149,2006
KINGA,338,2006
KIRA,,2006
KÍRA,291,2006
KITTI,442,2006
KLAUDIA,218,2006
KRISZTINA,298,2006
LARA,183,2006
LAURA,797,2006
LEILA,,2006
LÉNA,137,2006
LETÍCIA,,2006
LIA,,2006
LILI,983,2006
LILIÁNA,295,2006
LILIEN,,2006
LILLA,511,2006
LINETT,,2006
LÍVIA,,2006
LIZA,124,2006
LOTTI,,2006
LUCA,677,2006
MAJA,226,2006
MÁRIA,145,2006
MELINDA,152,2006
MELISSZA,,2006
MERCÉDESZ,176,2006
MIA,,2006
MIRA,,2006
MÍRA,223,2006
MIRELLA,,2006
MÓNIKA,127,2006
NATÁLIA,188,2006
NATASA,,2006
NIKOLETT,395,2006
NIKOLETTA,163,2006
NOÉMI,567,2006
NÓRA,582,2006
NORINA,,2006
OLÍVIA,,2006
ORSOLYA,200,2006
PANKA,,2006
PANNA,418,2006
PATRÍCIA,170,2006
PETRA,944,2006
RAMÓNA,318,2006
REBEKA,567,2006
REGINA,334,2006
RÉKA,1052,2006
RENÁTA,179,2006
RÓZA,,2006
SÁRA,468,2006
SZABINA,,2006
SZILVIA,141,2006
SZOFI,,2006
SZOFIA,,2006
SZÓFIA,,2006
SZONJA,268,2006
TAMARA,229,2006
TÍMEA,251,2006
TÜNDE,122,2006
VANDA,207,2006
VANESSZA,344,2006
VERONIKA,267,2006
VIKTÓRIA,964,2006
VIRÁG,638,2006
VIVIEN,933,2006
ZITA,166,2006
ZOÉ,199,2006
ZSANETT,198,2006
ZSÓFIA,1026,2006
ZSUZSANNA,178,2006
ABIGÉL,,2007
ADÉL,161,2007
ADRIENN,266,2007
ÁGNES,122,2007
ALEXA,181,2007
ALEXANDRA,532,2007
ALÍZ,,2007
AMANDA,272,2007
AMIRA,,2007
ANDREA,153,2007
ANETT,,2007
ANITA,158,2007
ANNA,1415,2007
ANNABELLA,,2007
ANNAMÁRIA,,2007
BARBARA,396,2007
BEATRIX,,2007
BELLA,,2007
BERNADETT,163,2007
BETTINA,127,2007
BIANKA,475,2007
BÍBORKA,,2007
BLANKA,276,2007
BOGLÁRKA,1069,2007
BORBÁLA,167,2007
BORÓKA,,2007
BRIGITTA,171,2007
CINTIA,219,2007
CSENGE,602,2007
CSILLA,,2007
DALMA,122,2007
DIÁNA,170,2007
DOMINIKA,174,2007
DÓRA,793,2007
DORINA,651,2007
DORKA,306,2007
DOROTTYA,202,2007
DZSENIFER,231,2007
DZSESSZIKA,,2007
EDINA,,2007
ELIZA,,2007
ELIZABET,,2007
EMESE,318,2007
EMILI,,2007
EMÍLIA,136,2007
EMMA,457,2007
ENIKŐ,313,2007
ERIKA,,2007
ESZTER,844,2007
ÉVA,119,2007
EVELIN,195,2007
FANNI,705,2007
FLÓRA,336,2007
FRUZSINA,251,2007
GABRIELLA,138,2007
GEORGINA,,2007
GRÉTA,534,2007
