key,value,date
ÁBEL,138,2003
ÁBEL,156,2004
ÁBEL,202,2005
ÁBEL,210,2006
ÁBEL,233,2007
ÁBEL,258,2008
ÁBEL,251,2009
ÁBEL,230,2010
ÁBEL,246,2011
ÁBEL,256,2012
ÁBEL,278,2013
ÁBEL,291,2014
ÁBEL,296,2015
ÁBEL,305,2016
ÁBEL,265,2017
ÁDÁM,1065,2003
ÁDÁM,1176,2004
ÁDÁM,1277,2005
ÁDÁM,1359,2006
ÁDÁM,1237,2007
ÁDÁM,1193,2008
ÁDÁM,1115,2009
ÁDÁM,1065,2010
ÁDÁM,1241,2011
ÁDÁM,1253,2012
ÁDÁM,1150,2013
ÁDÁM,1177,2014
ÁDÁM,1137,2015
ÁDÁM,1117,2016
ÁDÁM,1183,2017
ADRIÁN,276,2003
ADRIÁN,271,2004
ADRIÁN,255,2005
ADRIÁN,234,2006
ADRIÁN,185,2007
ADRIÁN,190,2008
ADRIÁN,207,2009
ADRIÁN,174,2010
ADRIÁN,153,2011
ADRIÁN,147,2012
ADRIÁN,132,2013
ADRIÁN,139,2014
ADRIÁN,134,2015
ADRIÁN,105,2016
ADRIÁN,106,2017
ÁGOSTON,64,2003
ÁGOSTON,66,2004
ÁGOSTON,,2005
ÁGOSTON,76,2006
ÁGOSTON,83,2007
ÁGOSTON,86,2008
ÁGOSTON,,2009
ÁGOSTON,,2010
ÁGOSTON,,2011
ÁGOSTON,,2012
ÁGOSTON,,2013
ÁGOSTON,,2014
ÁGOSTON,,2015
ÁGOSTON,,2016
ÁGOSTON,,2017
ÁKOS,555,2003
ÁKOS,613,2004
ÁKOS,783,2005
ÁKOS,698,2006
ÁKOS,701,2007
ÁKOS,668,2008
ÁKOS,668,2009
ÁKOS,594,2010
ÁKOS,535,2011
ÁKOS,550,2012
ÁKOS,522,2013
ÁKOS,583,2014
ÁKOS,512,2015
ÁKOS,491,2016
ÁKOS,470,2017
ALEX,381,2003
ALEX,340,2004
ALEX,324,2005
ALEX,324,2006
ALEX,325,2007
ALEX,390,2008
ALEX,374,2009
ALEX,350,2010
ALEX,296,2011
ALEX,290,2012
ALEX,328,2013
ALEX,377,2014
ALEX,312,2015
ALEX,335,2016
ALEX,378,2017
ALEXANDER,91,2003
ALEXANDER,88,2004
ALEXANDER,79,2005
ALEXANDER,73,2006
ALEXANDER,76,2007
